EmpID,Age,AgeGroup,Attrition,BusinessTravel,Department,DistanceFromHome,EducationField,EmployeeCount,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,SalarySlab,NumCompaniesWorked,Over18,OverTime,PerformanceRating,YearsAtCompany
RM297,18,18-25,Yes,Travel_Rarely,Research & Development,3,Life Sciences,1,Male,Laboratory Technician,3,Single,1420,Upto 5k,1,Y,No,3,0
RM302,18,18-25,No,Travel_Rarely,Sales,10,Medical,1,Female,Sales Representative,3,Single,1200,Upto 5k,1,Y,No,3,0
RM458,18,18-25,Yes,Travel_Frequently,Sales,5,Marketing,1,Male,Sales Representative,2,Single,1878,Upto 5k,1,Y,Yes,3,0
RM728,18,18-25,No,Non-Travel,Research & Development,5,Life Sciences,1,Male,Research Scientist,4,Single,1051,Upto 5k,1,Y,No,3,0
RM829,18,18-25,Yes,Non-Travel,Research & Development,8,Medical,1,Male,Laboratory Technician,3,Single,1904,Upto 5k,1,Y,No,3,0
RM973,18,18-25,No,Non-Travel,Research & Development,1,Life Sciences,1,Female,Laboratory Technician,4,Single,1611,Upto 5k,1,Y,No,3,0
RM1154,18,18-25,Yes,Travel_Frequently,Sales,3,Medical,1,Female,Sales Representative,4,Single,1569,Upto 5k,1,Y,Yes,3,0
RM1312,18,18-25,No,Non-Travel,Research & Development,14,Medical,1,Female,Research Scientist,3,Single,1514,Upto 5k,1,Y,No,3,0
RM128,19,18-25,Yes,Travel_Rarely,Sales,22,Marketing,1,Male,Sales Representative,3,Single,1675,Upto 5k,1,Y,Yes,3,0
RM150,19,18-25,No,Travel_Rarely,Research & Development,3,Medical,1,Female,Laboratory Technician,2,Single,1483,Upto 5k,1,Y,No,3,1
RM172,19,18-25,Yes,Travel_Frequently,Sales,1,Technical Degree,1,Female,Sales Representative,1,Single,2325,Upto 5k,0,Y,No,4,0
RM178,19,18-25,Yes,Travel_Rarely,Research & Development,2,Life Sciences,1,Male,Laboratory Technician,4,Single,1102,Upto 5k,1,Y,No,4,1
RM423,19,18-25,Yes,Travel_Rarely,Human Resources,2,Technical Degree,1,Male,Human Resources,4,Single,2564,Upto 5k,1,Y,No,3,1
RM689,19,18-25,Yes,Travel_Rarely,Sales,21,Other,1,Male,Sales Representative,2,Single,2121,Upto 5k,1,Y,Yes,3,1
RM854,19,18-25,No,Travel_Rarely,Research & Development,9,Life Sciences,1,Male,Research Scientist,1,Single,2552,Upto 5k,1,Y,No,4,1
RM893,19,18-25,Yes,Non-Travel,Research & Development,10,Medical,1,Female,Research Scientist,2,Single,1859,Upto 5k,1,Y,Yes,4,1
RM910,19,18-25,No,Travel_Rarely,Research & Development,25,Life Sciences,1,Female,Research Scientist,4,Single,2994,Upto 5k,1,Y,Yes,3,1
RM103,20,18-25,Yes,Travel_Frequently,Research & Development,6,Life Sciences,1,Female,Laboratory Technician,4,Single,2926,Upto 5k,1,Y,Yes,3,1
RM488,20,18-25,No,Travel_Rarely,Research & Development,1,Life Sciences,1,Female,Research Scientist,2,Single,2836,Upto 5k,1,Y,No,3,1
RM514,20,18-25,Yes,Travel_Rarely,Research & Development,10,Medical,1,Male,Research Scientist,3,Single,1009,Upto 5k,1,Y,Yes,3,1
RM663,20,18-25,Yes,Travel_Rarely,Sales,2,Medical,1,Female,Sales Representative,3,Single,2044,Upto 5k,1,Y,No,3,2
RM690,20,18-25,Yes,Travel_Rarely,Research & Development,4,Technical Degree,1,Male,Laboratory Technician,1,Single,2973,Upto 5k,1,Y,No,3,1
RM732,20,18-25,Yes,Travel_Rarely,Research & Development,11,Medical,1,Female,Research Scientist,1,Single,2600,Upto 5k,1,Y,Yes,3,1
RM777,20,18-25,Yes,Travel_Frequently,Sales,9,Marketing,1,Female,Sales Representative,4,Single,2323,Upto 5k,1,Y,Yes,3,2
RM857,20,18-25,No,Travel_Rarely,Research & Development,3,Life Sciences,1,Male,Laboratory Technician,3,Single,3033,Upto 5k,1,Y,No,3,2
RM877,20,18-25,No,Travel_Rarely,Sales,21,Marketing,1,Male,Sales Representative,4,Single,2678,Upto 5k,1,Y,No,3,2
RM1179,20,18-25,No,Travel_Rarely,Sales,2,Medical,1,Female,Sales Representative,3,Single,2783,Upto 5k,1,Y,No,3,2
RM1198,20,18-25,No,Travel_Rarely,Sales,9,Life Sciences,1,Male,Sales Representative,1,Single,2728,Upto 5k,1,Y,No,3,2
RM024,21,18-25,No,Travel_Rarely,Research & Development,15,Life Sciences,1,Male,Research Scientist,4,Single,1232,Upto 5k,1,Y,No,3,0
RM275,21,18-25,No,Travel_Rarely,Research & Development,3,Medical,1,Male,Research Scientist,3,Single,3230,Upto 5k,1,Y,No,3,3
RM358,21,18-25,Yes,Travel_Frequently,Sales,1,Technical Degree,1,Female,Sales Representative,2,Single,2174,Upto 5k,1,Y,Yes,3,3
RM363,21,18-25,No,Non-Travel,Sales,9,Medical,1,Male,Sales Representative,4,Single,2610,Upto 5k,1,Y,No,4,3
RM371,21,18-25,Yes,Travel_Rarely,Sales,12,Life Sciences,1,Female,Sales Representative,2,Single,2716,Upto 5k,1,Y,No,3,1
RM497,21,18-25,No,Travel_Rarely,Sales,22,Technical Degree,1,Male,Sales Representative,3,Single,3447,Upto 5k,1,Y,No,3,3
RM664,21,18-25,Yes,Travel_Rarely,Research & Development,18,Other,1,Female,Research Scientist,4,Single,2693,Upto 5k,1,Y,No,3,1
RM778,21,18-25,Yes,Travel_Rarely,Research & Development,10,Life Sciences,1,Female,Laboratory Technician,1,Single,1416,Upto 5k,1,Y,No,3,1
RM816,21,18-25,No,Travel_Rarely,Research & Development,1,Technical Degree,1,Female,Research Scientist,2,Single,2070,Upto 5k,1,Y,Yes,3,2
RM916,21,18-25,Yes,Travel_Frequently,Research & Development,10,Life Sciences,1,Female,Laboratory Technician,3,Single,2625,Upto 5k,1,Y,No,4,2
RM1153,21,18-25,No,Travel_Rarely,Research & Development,5,Medical,1,Male,Research Scientist,4,Single,3117,Upto 5k,1,Y,No,3,2
RM1272,21,18-25,Yes,Travel_Rarely,Sales,7,Marketing,1,Male,Sales Representative,2,Single,2679,Upto 5k,1,Y,No,3,1
RM1437,21,18-25,No,Travel_Rarely,Sales,5,Medical,1,Male,Sales Representative,1,Single,2380,Upto 5k,1,Y,Yes,3,2
RM018,22,18-25,No,Non-Travel,Research & Development,16,Medical,1,Male,Laboratory Technician,4,Divorced,2935,Upto 5k,1,Y,Yes,3,1
RM110,22,18-25,No,Travel_Rarely,Research & Development,15,Medical,1,Female,Laboratory Technician,4,Single,2871,Upto 5k,1,Y,No,3,0
RM129,22,18-25,No,Travel_Rarely,Research & Development,2,Technical Degree,1,Male,Laboratory Technician,4,Married,2523,Upto 5k,0,Y,No,3,2
RM161,22,18-25,No,Travel_Rarely,Research & Development,19,Medical,1,Male,Research Scientist,4,Married,2323,Upto 5k,1,Y,No,4,2
RM207,22,18-25,No,Travel_Rarely,Research & Development,5,Life Sciences,1,Male,Research Scientist,2,Divorced,2328,Upto 5k,1,Y,Yes,3,4
